movie_id,actor_name,character,cast_order
630,Charley Grapewin,Uncle Henry,7
630,Pat Walshe,Nikko,8
630,Clara Blandick,Auntie Em,9
630,Terry,Toto,10
647,Takahiro Sakurai,Cloud Strife (voice),0
647,Ayumi Ito,Tifa Lockhart (voice),1
647,Showtaro Morikubo,Kadaj (voice),2
647,Maaya Sakamoto,Aerith Gainsborough (voice),3
647,Keiji Fujiwara,Reno (voice),4
647,Taiten Kusunoki,Rude (voice),5
647,Yuji Kishi,Yazoo (voice),6
647,Shôgo Suzuki,Vincent Valentine (voice),7
647,Masahiro Kobayashi,Barret Wallace (voice),8
647,Yumi Kakazu,Yuffie Kisaragi (voice),9
647,Hideo Ishikawa,Cait Sith (voice),10
648,Jean Marais,La Bête / Le Prince / Avenant,0
648,Josette Day,Belle,1
648,Marcel André,Belle's Father,2
648,Mila Parély,Félicie,3
648,Nane Germon,Adélaïde,4
648,Michel Auclair,Ludovic,5
648,Raoul Marco,The Insurer,6
648,Jean Cocteau,The Voice of Magic (uncredited),7
648,Noël Blin,Footman (uncredited),8
648,Christian Marquand,Footman (uncredited),9
648,Gilles Watteaux,Footman (uncredited),10
653,Max Schreck,Count Orlok,0
653,Gustav von Wangenheim,Hutter,1
653,Greta Schröder,Ellen,2
653,Georg H. Schnell,Harding,3
653,Ruth Landshoff,Ruth,4
653,Gustav Botz,Professor Sievers,5
653,Alexander Granach,Knock,6
653,John Gottowt,Professor Bulwer,7
653,Max Nemetz,A Ship Captain,8
653,Wolfgang Heinz,Sailor 1,9
653,Albert Venohr,Sailor 2,10
671,Daniel Radcliffe,Harry Potter,0
671,Rupert Grint,Ron Weasley,1
671,Emma Watson,Hermione Granger,2
671,Richard Harris,Albus Dumbledore,3
671,Tom Felton,Draco Malfoy,4
671,Alan Rickman,Severus Snape,5
671,Robbie Coltrane,Rubeus Hagrid,6
671,Maggie Smith,Minerva McGonagall,7
671,Richard Griffiths,Vernon Dursley,8
671,Ian Hart,Quirinus Quirrell,9
671,Fiona Shaw,Petunia Dursley,10
672,Daniel Radcliffe,Harry Potter,0
672,Rupert Grint,Ron Weasley,1
672,Emma Watson,Hermione Granger,2
672,Kenneth Branagh,Gilderoy Lockhart,3
672,Toby Jones,Dobby (voice),4
672,Robbie Coltrane,Rubeus Hagrid,5
672,Richard Harris,Albus Dumbledore,6
672,Alan Rickman,Severus Snape,7
672,Tom Felton,Draco Malfoy,8
672,Jason Isaacs,Lucius Malfoy,9
672,Shirley Henderson,Moaning Myrtle,10
673,Daniel Radcliffe,Harry Potter,0
673,Rupert Grint,Ron Weasley,1
673,Emma Watson,Hermione Granger,2
673,Robbie Coltrane,Rubeus Hagrid,3
673,Michael Gambon,Albus Dumbledore,4
673,Gary Oldman,Sirius Black,5
673,David Thewlis,Remus Lupin,6
673,Timothy Spall,Peter Pettigrew,7
673,Alan Rickman,Severus Snape,8
673,Tom Felton,Draco Malfoy,9
673,Emma Thompson,Sybill Trelawney,10
674,Daniel Radcliffe,Harry Potter,0
674,Rupert Grint,Ron Weasley,1
674,Emma Watson,Hermione Granger,2
674,Brendan Gleeson,Alastor 'Mad-Eye' Moody,3
674,Michael Gambon,Albus Dumbledore,4
674,Robert Pattinson,Cedric Diggory,5
674,Ralph Fiennes,Lord Voldemort,6
674,Robbie Coltrane,Rubeus Hagrid,7
674,Alan Rickman,Severus Snape,8
674,David Tennant,Barty Crouch Junior,9
674,Predrag Bjelac,Igor Karkaroff,10
675,Daniel Radcliffe,Harry Potter,0
675,Rupert Grint,Ron Weasley,1
675,Emma Watson,Hermione Granger,2
675,Imelda Staunton,Dolores Umbridge,3
675,Helena Bonham Carter,Bellatrix Lestrange,4
675,Robbie Coltrane,Rubeus Hagrid,5
675,Gary Oldman,Sirius Black,6
675,Ralph Fiennes,Lord Voldemort,7
675,Michael Gambon,Albus Dumbledore,8
675,Alan Rickman,Severus Snape,9
675,Richard Griffiths,Vernon Dursley,10
756,Deems Taylor,Narrator - Narrative Introductions,0
756,Walt Disney,Mickey Mouse (segment 'The Sorcerer's Apprentice') (voice),1
756,Julietta Novis,Soloist (segment 'Ave Maria') (singing voice),2
756,Leopold Stokowski,Self - Conductor of The Philadelphia Orchestra,3
