movie_id,genre_name
297762,Action
297762,Adventure
297762,Fantasy
6978,Action
6978,Comedy
6978,Fantasy
6978,Adventure
12105,Animation
12105,Adventure
12105,Comedy
12105,Fantasy
900667,Animation
900667,Adventure
900667,Action
900667,Fantasy
152603,Drama
152603,Romance
152603,Fantasy
12159,Drama
12159,Fantasy
12159,Romance
302429,Animation
302429,Family
302429,Fantasy
2668,Fantasy
2668,Thriller
2668,Horror
10693,Animation
10693,Family
10693,Adventure
10693,Fantasy
407655,Comedy
407655,Family
407655,Fantasy
12092,Animation
12092,Family
12092,Fantasy
12092,Adventure
2280,Fantasy
2280,Drama
2280,Comedy
560050,Animation
560050,Adventure
560050,Family
560050,Fantasy
15359,Action
15359,Adventure
15359,Animation
15359,Fantasy
15359,Sci-Fi
10830,Comedy
10830,Family
10830,Fantasy
15283,Adventure
15283,Animation
15283,Fantasy
11533,Adventure
11533,Family
11533,Fantasy
1040148,Animation
1040148,Family
1040148,Fantasy
1040148,Comedy
11044,Fantasy
11044,Comedy
11044,Drama
11044,Romance
527435,Comedy
527435,Adventure
527435,Family
527435,Fantasy
647,Animation
647,Action
647,Adventure
647,Fantasy
647,Sci-Fi
642885,Fantasy
642885,Comedy
585245,Family
585245,Adventure
585245,Comedy
585245,Fantasy
277217,Family
277217,Adventure
277217,Fantasy
475215,Animation
475215,Family
475215,Fantasy
475215,Adventure
475215,Drama
645757,Animation
645757,Comedy
645757,Family
645757,Fantasy
645757,Adventure
459003,Animation
459003,Adventure
459003,Family
459003,Fantasy
501170,Horror
501170,Fantasy
927,Fantasy
927,Horror
927,Comedy
10601,Adventure
10601,Fantasy
10601,Family
411,Adventure
411,Family
411,Fantasy
430447,Animation
430447,Adventure
430447,Family
430447,Fantasy
672647,Fantasy
672647,Romance
11639,Adventure
11639,Family
11639,Fantasy
15370,Adventure
15370,Fantasy
15370,Animation
15370,Drama
15370,Family
408,Fantasy
408,Animation
408,Family
11687,Fantasy
11687,Comedy
561,Fantasy
561,Action
561,Horror
103332,Comedy
103332,Romance
103332,Fantasy
103332,Drama
4688,Drama
4688,Romance
4688,Fantasy
2323,Drama
2323,Fantasy
279229,Fantasy
279229,Romance
279229,Drama
323027,Action
323027,Animation
323027,Fantasy
323027,Adventure
323027,Sci-Fi
10895,Animation
10895,Family
10895,Fantasy
547016,Action
547016,Fantasy
749004,Drama
749004,Fantasy
487242,Sci-Fi
487242,Action
487242,Animation
487242,Fantasy
836225,Horror
836225,Crime
836225,Drama
836225,Fantasy
102651,Fantasy
102651,Adventure
102651,Action
102651,Family
102651,Romance
420817,Adventure
420817,Fantasy
420817,Romance
420817,Family
845222,Drama
845222,Fantasy
845222,Thriller
856289,Action
856289,Fantasy
11836,Family
11836,Comedy
11836,Adventure
11836,Animation
11836,Fantasy
428449,Drama
428449,Fantasy
428449,Romance
1246049,Horror
1246049,Fantasy
1246049,Romance
436931,Family
436931,Animation
436931,Adventure
436931,Fantasy
16140,Fantasy
16140,Thriller
11934,Comedy
11934,Drama
