movie_id,company_id,name,origin_country,logo_path
961323,13184,Annapurna Pictures,US,/pfUB1a62jSMIqp4Xmaq6z2cgW0B.png
961323,31922,DNEG,GB,/omWPoru2LNayUOBqjMBLP9KrFrP.png
32085,3166,Walt Disney Productions,US,/jmPS1qPfKnISciDF7RnUbh48jvK.png
10191,521,DreamWorks Animation,US,/3BPX5VGBov8SDqTV7wC1L1xShAS.png
33320,3464,Madhouse,JP,/9k0nr75nwnNeT2MHerf1OXJN0hj.png
2062,3,Pixar,US,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png
178682,3812,It's a Laugh Productions,US,/aIIbOefJ6Ah3pQBmfS8y8K9mj46.png
178682,240533,Disney Channel,US,/9AxUB1RdRnm0r5ki8Thb69Jo9Ma.png
16859,10342,Studio Ghibli,JP,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png
16859,12516,Nibariki,JP,
16859,1779,Tokuma Shoten,JP,/41nGzTdCnORYZIZzaGZtfsBwQCl.png
16859,6755,Nippon Television Network Corporation,JP,/bWiM2iY82B32NGmPCOFatgfekIR.png
445030,3464,Madhouse,JP,/9k0nr75nwnNeT2MHerf1OXJN0hj.png
445030,17981,AT-X,JP,/8UABNMysukRi4udTHYxcNUMbPR1.png
445030,2073,KADOKAWA,JP,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png
445030,3466,movic,JP,/lmCg0zarmM52wrmsZRUY0QlPKLh.png
445030,5809,Frontier Works,JP,/bViN2LqqtONjOTkYmPtnMNaVOtD.png
9479,9195,Touchstone Pictures,US,/geK5QOBsXIPGHutKwXtYjMUyYSG.png
9479,8835,Skellington Productions,US,/vWnR6gtkPkhkZlDXXobelCveGEO.png
550205,2251,Sony Pictures Animation,US,/5ilV5mH3gxTEU7p5wjxptHvXkyr.png
550205,81620,Tencent Pictures,CN,/7LkIVuWBVScdujpKhBPx1TMnPQE.png
550205,121604,Base Media,CN,/sdt19ueRoZiJMZ3niK09r9MSF2s.png
550205,89088,Alkay Animation Prague,CZ,
22,2,Walt Disney Pictures,US,/wdrCwmRnLFJhEoH8GSfymY85KHT.png
22,130,Jerry Bruckheimer Films,US,/c9dVHPOL3cqCr2593Ahk0nEKTEM.png
83564,3,Pixar,US,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png
762,416,Python (Monty) Pictures,GB,
762,463,Michael White Productions,GB,
762,464,National Film Trustee Company,GB,
762,538,EMI Films,GB,/oGpxL5lFf8VpWsAQ6tut0on25LW.png
527774,6125,Walt Disney Animation Studios,US,/8bH86UPmMP8hlITzXV3XgV9eaAc.png
674,174,Warner Bros. Pictures,US,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png
674,437,Heyday Films,GB,/nu20mtwbEIhUNnQ5NXVhHsNknZj.png
674,462,Patalex IV Productions,GB,
11621,10342,Studio Ghibli,JP,/uFuxPEZRUcBTEiYIxjHJq62Vr77.png
11621,882,TOHO,JP,/fRSWWjquvzcHjACbtF53utZFIll.png
11621,1779,Tokuma Shoten,JP,/41nGzTdCnORYZIZzaGZtfsBwQCl.png
11621,12516,Nibariki,JP,
11621,11847,Mitsubishi,JP,/rZP0I1p3hZNUMNFPHUSal6rWThQ.png
11621,6755,Nippon Television Network Corporation,JP,/bWiM2iY82B32NGmPCOFatgfekIR.png
568012,5542,Toei Animation,JP,/ayE4LIqoAWotavo7xdvYngwqGML.png
568012,5822,Toei Company,JP,/qyTbRgCyU9NLKvKaiQVbadtr7RY.png
568012,2918,Shueisha,JP,/gyEWUBWwqrm3H5T2hkERD9LxpOq.png
568012,155586,Bandai,JP,/rogLuRSNdqLI9r29ZCzD0i0kfJW.png
568012,12502,Bandai Namco Entertainment,JP,/tlBbCuZditAuvzDdIDjjnGLJUpc.png
5961,7445,Cinematograph AB,SE,
5961,2302,Svenska Filminstitutet,SE,/rPXEdpqwFycAY9ZgrAJXv13qcWW.png
5961,2999,SVT,SE,/zGSqFee9aDgDuLD6vcs2mcJUem4.png
5961,9,Gaumont,FR,/nda3dTUYdDrJ6rZqBpYvY865aDv.png
5961,7447,Personafilm,DE,
5961,480,Tobis,DE,
508943,3,Pixar,US,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png
14069,3464,Madhouse,JP,/9k0nr75nwnNeT2MHerf1OXJN0hj.png
14069,822,Happinet Pictures,JP,/HF2fFP8MH9juSCoN2VtQCFQYPD.png
