movie_id,title,release_date,rating,popularity,release_year,genres,category
19585,G-Force,2009-07-24,5.5,4.5401,2009,"Family, Fantasy, Action, Adventure, Comedy",Fantasy Epic
11618,The Haunting,1999-07-23,5.5,3.6814,1999,"Horror, Thriller, Fantasy",Dark Fantasy
63207,Intruders,2011-09-12,5.5,1.4439,2011,"Thriller, Horror, Fantasy",Dark Fantasy
23023,Tooth Fairy,2010-01-14,5.5,4.8835,2010,"Comedy, Family, Fantasy",Fantasy Epic
76757,Jupiter Ascending,2015-02-04,5.5,9.8046,2015,"Sci-Fi, Fantasy, Action",Sword and Sorcery
414,Batman Forever,1995-06-16,5.5,6.0306,1995,"Action, Crime, Fantasy",Sword and Sorcery
2274,The Seeker: The Dark Is Rising,2007-10-05,5.4,2.339,2007,"Adventure, Drama, Fantasy, Family, Thriller",Dark Fantasy
530081,The Man Who Killed Hitler and Then the Bigfoot,2019-02-08,5.4,2.1093,2019,"Drama, Adventure, Fantasy, Sci-Fi",Fantasy Epic
10336,Spawn,1997-07-31,5.4,4.6449,1997,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",Dark Fantasy
420808,Peter Pan & Wendy,2023-04-20,5.4,5.2634,2023,"Family, Fantasy, Action, Adventure",Fantasy Epic
10658,Howard the Duck,1986-08-01,5.4,2.9639,1986,"Fantasy, Comedy, Action, Adventure, Romance, Sci-Fi",Sword and Sorcery
426285,Fullmetal Alchemist,2017-12-01,5.4,2.8882,2017,"Fantasy, Action, Sci-Fi, Adventure",Sword and Sorcery
10992,Cats & Dogs,2001-06-23,5.4,3.3533,2001,"Family, Comedy, Action, Adventure, Fantasy",Fantasy Epic
888,The Flintstones,1994-05-27,5.4,7.9418,1994,"Fantasy, Comedy, Family",Fantasy Epic
9626,Red Sonja,1985-04-09,5.4,3.6066,1985,"Adventure, Fantasy, Action",Sword and Sorcery
11469,Black Knight,2001-11-21,5.4,3.3154,2001,"Comedy, Fantasy, Adventure",Fantasy Epic
43074,Ghostbusters,2016-07-14,5.3,6.4161,2016,"Action, Fantasy, Comedy",Sword and Sorcery
38319,Your Highness,2011-04-08,5.3,3.2177,2011,"Comedy, Fantasy, Adventure, Action, Romance",Sword and Sorcery
10808,Dr. Dolittle 2,2001-06-22,5.3,3.7316,2001,"Comedy, Family, Romance, Fantasy",Fantasy Epic
37430,Conan the Barbarian,2011-08-17,5.3,5.0015,2011,"Adventure, Fantasy, Action",Sword and Sorcery
634492,Madame Web,2024-02-14,5.3,7.8943,2024,"Action, Fantasy",Sword and Sorcery
10588,The Cat in the Hat,2003-11-21,5.3,4.2758,2003,"Family, Comedy, Adventure, Fantasy",Fantasy Epic
9480,Daredevil,2003-02-14,5.3,7.1836,2003,"Fantasy, Action",Sword and Sorcery
11597,Toys,1992-12-18,5.3,2.2813,1992,"Fantasy, Comedy, Sci-Fi",Fantasy Epic
9651,Supergirl,1984-07-01,5.3,2.7025,1984,"Adventure, Fantasy, Action, Sci-Fi",Sword and Sorcery
2395,Asterix at the Olympic Games,2008-01-25,5.2,4.0692,2008,"Fantasy, Adventure, Comedy, Family",Fantasy Epic
38745,Gulliver's Travels,2010-12-23,5.2,3.7884,2010,"Family, Comedy, Adventure, Fantasy",Fantasy Epic
39691,Cats & Dogs: The Revenge of Kitty Galore,2010-07-29,5.2,2.3213,2010,"Family, Adventure, Comedy, Fantasy, Action",Fantasy Epic
592831,Megalopolis,2024-09-25,5.2,3.9559,2024,"Sci-Fi, Drama, Fantasy",Fantasy Epic
302349,Iron Sky: The Coming Race,2019-01-25,5.2,2.4823,2019,"Action, Comedy, Fantasy, Sci-Fi",Sword and Sorcery
1087822,Hellboy: The Crooked Man,2024-08-29,5.2,4.0912,2024,"Fantasy, Horror, Action",Dark Fantasy
2486,Eragon,2006-12-14,5.1,5.7693,2006,"Fantasy, Action, Adventure, Family",Fantasy Epic
18843,Dr. Dolittle 3,2006-04-25,5.1,2.2259,2006,"Comedy, Family, Fantasy",Fantasy Epic
9722,Bewitched,2005-06-21,5.1,3.4867,2005,"Comedy, Fantasy, Romance",Fantasy Epic
12158,Vampire in Brooklyn,1995-10-26,5.1,1.3671,1995,"Comedy, Horror, Romance, Fantasy",Dark Fantasy
5393,Happily N'Ever After,2007-01-05,5.1,2.779,2007,"Adventure, Animation, Comedy, Family, Fantasy",Fairy Tale
407451,A Wrinkle in Time,2018-03-08,5.1,2.5539,2018,"Adventure, Sci-Fi, Family, Fantasy",Fantasy Epic
